x1,x2,rho,y1,y2
0.625,-1.375,2.28125,0.06384777,0.474311093
0.75,-1.375,2.453125,0.064518255,0.561614912
0.875,-1.375,2.65625,0.061434643,0.643283745
1,-1.375,2.890625,0.055541488,0.70448914
1.125,-1.375,3.15625,0.047908278,0.727194606
1.25,-1.375,3.453125,0.039558233,0.692265452
1.375,-1.375,3.78125,0.031341999,0.583491158
1.5,-1.375,4.140625,0.023869354,0.393539131
1.625,-1.375,4.53125,0.017496714,0.131018208
1.75,-1.375,4.953125,0.012357289,-0.173394535
1.875,-1.375,5.40625,0.008415826,-0.465098346
-2,-1.25,5.5625,-0.007678333,-0.601082937
-1.875,-1.25,5.078125,-0.011684217,-0.286109385
-1.75,-1.25,4.625,-0.017156396,0.069822235
-1.625,-1.25,4.203125,-0.024291782,0.390027806
-1.5,-1.25,3.8125,-0.033139317,0.626606315
-1.375,-1.25,3.453125,-0.043514056,0.761491997
-1.25,-1.25,3.125,-0.054921167,0.799889876
-1.125,-1.25,2.828125,-0.066514057,0.761016007
-1,-1.25,2.5625,-0.07711172,0.669567643
-0.875,-1.25,2.328125,-0.085293554,0.549586172
-0.75,-1.25,2.125,-0.089574726,0.421013068
-0.625,-1.25,1.953125,-0.088643849,0.298465615
-0.5,-1.25,1.8125,-0.081622756,0.191485699
-0.375,-1.25,1.703125,-0.068292573,0.10555425
-0.25,-1.25,1.625,-0.049227919,0.043341708
-0.125,-1.25,1.578125,-0.025795208,0.005862886
0,-1.25,1.5625,0,-0.006636985
0.125,-1.25,1.578125,0.025795208,0.005862886
0.25,-1.25,1.625,0.049227919,0.043341708
0.375,-1.25,1.703125,0.068292573,0.10555425
0.5,-1.25,1.8125,0.081622756,0.191485699
0.625,-1.25,1.953125,0.088643849,0.298465615
0.75,-1.25,2.125,0.089574726,0.421013068
0.875,-1.25,2.328125,0.085293554,0.549586172
1,-1.25,2.5625,0.07711172,0.669567643
1.125,-1.25,2.828125,0.066514057,0.761016007
1.25,-1.25,3.125,0.054921167,0.799889876
1.375,-1.25,3.453125,0.043514056,0.761491997
1.5,-1.25,3.8125,0.033139317,0.626606315
1.625,-1.25,4.203125,0.024291782,0.390027806
1.75,-1.25,4.625,0.017156396,0.069822235
1.875,-1.25,5.078125,0.011684217,-0.286109385
-2,-1.125,5.265625,-0.010332326,-0.467060688
-1.875,-1.125,4.78125,-0.015722832,-0.061161432
-1.75,-1.125,4.328125,-0.023086455,0.333223905
-1.625,-1.125,3.90625,-0.032688165,0.641439658
-1.5,-1.125,3.515625,-0.044593825,0.827432543
-1.375,-1.125,3.15625,-0.058554562,0.888793407
-1.25,-1.125,2.828125,-0.073904508,0.845573341
-1.125,-1.125,2.53125,-0.089504447,0.728401489
-1,-1.125,2.265625,-0.103765161,0.569114526
-0.875,-1.125,2.03125,-0.114775023,0.394981846
-0.75,-1.125,1.828125,-0.120535969,0.226220528
-0.625,-1.125,1.65625,-0.119283337,0.075866408
-0.5,-1.125,1.515625,-0.109835424,-0.049016304
-0.375,-1.125,1.40625,-0.091897702,-0.145604269
-0.25,-1.125,1.328125,-0.066243405,-0.213596921
-0.125,-1.125,1.28125,-0.034711246,-0.253793303
0,-1.125,1.265625,0,-0.267072525
0.125,-1.125,1.28125,0.034711246,-0.253793303
0.25,-1.125,1.328125,0.066243405,-0.213596921
0.375,-1.125,1.40625,0.091897702,-0.145604269
0.5,-1.125,1.515625,0.109835424,-0.049016304
0.625,-1.125,1.65625,0.119283337,0.075866408
0.75,-1.125,1.828125,0.120535969,0.226220528
0.875,-1.125,2.03125,0.114775023,0.394981846
1,-1.125,2.265625,0.103765161,0.569114526
1.125,-1.125,2.53125,0.089504447,0.728401489
1.25,-1.125,2.828125,0.073904508,0.845573341
1.375,-1.125,3.15625,0.058554562,0.888793407
1.5,-1.125,3.515625,0.044593825,0.827432543
1.625,-1.125,3.90625,0.032688165,0.641439658
1.75,-1.125,4.328125,0.023086455,0.333223905
1.875,-1.125,4.78125,0.015722832,-0.061161432
-2,-1,5,-0.013475894,-0.283662186
-1.875,-1,4.515625,-0.020506439,0.195496781
-1.75,-1,4.0625,-0.030110413,0.605098021
-1.625,-1,3.640625,-0.042633405,0.878046069
-1.5,-1,3.25,-0.058161312,0.994129676
-1.375,-1,2.890625,-0.076369546,0.968672567
-1.25,-1,2.5625,-0.09638965,0.836959553
-1.125,-1,2.265625,-0.116735806,0.640253842
-1,-1,2,-0.135335283,0.416146837
-0.875,-1,1.765625,-0.14969485,0.193598452
-0.75,-1,1.5625,-0.15720854,-0.008296232
-0.625,-1,1.390625,-0.155574801,-0.17919813
-0.5,-1,1.25,-0.143252398,-0.315322362
-0.375,-1,1.140625,-0.119857199,-0.417026527
-0.25,-1,1.0625,-0.086397688,-0.486689668
-0.125,-1,1.015625,-0.045272,-0.527088903
0,-1,1,0,-0.540302306
0.125,-1,1.015625,0.045272,-0.527088903
0.25,-1,1.0625,0.086397688,-0.486689668
0.375,-1,1.140625,0.119857199,-0.417026527
0.5,-1,1.25,0.143252398,-0.315322362
0.625,-1,1.390625,0.155574801,-0.17919813
0.75,-1,1.5625,0.15720854,-0.008296232
0.875,-1,1.765625,0.14969485,0.193598452
1,-1,2,0.135335283,0.416146837
1.125,-1,2.265625,0.116735806,0.640253842
1.25,-1,2.5625,0.09638965,0.836959553
1.375,-1,2.890625,0.076369546,0.968672567
1.5,-1,3.25,0.058161312,0.994129676
1.625,-1,3.640625,0.042633405,0.878046069
1.75,-1,4.0625,0.030110413,0.605098021
1.875,-1,4.515625,0.020506439,0.195496781
-2,-0.875,4.765625,-0.017035126,-0.060812431
-1.875,-0.875,4.28125,-0.025922568,0.477606658
-1.75,-0.875,3.828125,-0.038063129,0.88394133
-1.625,-0.875,3.40625,-0.053893673,1.103065358
-1.5,-0.875,3.015625,-0.073522787,1.133801784
-1.375,-0.875,2.65625,-0.096540153,1.010874456
-1.25,-0.875,2.328125,-0.121847935,0.785123103
-1.125,-0.875,2.03125,-0.147567886,0.507833802
-1,-0.875,1.765625,-0.171079828,0.221255374
-0.875,-0.875,1.53125,-0.189232021,-0.045184023
-0.75,-0.875,1.328125,-0.198730216,-0.274624613
-0.625,-0.875,1.15625,-0.196664976,-0.460313972
-0.5,-0.875,1.015625,-0.181088,-0.602387318
-0.375,-0.875,0.90625,-0.151513696,-0.704802361
-0.25,-0.875,0.828125,-0.109216911,-0.772866508
-0.125,-0.875,0.78125,-0.05722917,-0.811467296
0,-0.875,0.765625,0,-0.82394215
0.125,-0.875,0.78125,0.05722917,-0.811467296
0.25,-0.875,0.828125,0.109216911,-0.772866508
0.375,-0.875,0.90625,0.151513696,-0.704802361
0.5,-0.875,1.015625,0.181088,-0.602387318
0.625,-0.875,1.15625,0.196664976,-0.460313972
0.75,-0.875,1.328125,0.198730216,-0.274624613
0.875,-0.875,1.53125,0.189232021,-0.045184023
1,-0.875,1.765625,0.171079828,0.221255374
1.125,-0.875,2.03125,0.147567886,0.507833802
1.25,-0.875,2.328125,0.121847935,0.785123103
1.375,-0.875,2.65625,0.096540153,1.010874456
1.5,-0.875,3.015625,0.073522787,1.133801784
1.625,-0.875,3.40625,0.053893673,1.103065358
1.75,-0.875,3.828125,0.038063129,0.88394133
1.875,-0.875,4.28125,0.025922568,0.477606658
-2,-0.75,4.5625,-0.020871873,0.199104478
-1.875,-0.75,4.078125,-0.031760994,0.790113074
-1.75,-0.75,3.625,-0.04663592,1.180555114
-1.625,-0.75,3.203125,-0.066031909,1.330809977
-1.5,-0.75,2.8125,-0.090082002,1.261781298
-1.375,-0.75,2.453125,-0.118283467,1.029627339
-1.25,-0.75,2.125,-0.14929121,0.701688446
-1.125,-0.75,1.828125,-0.180803954,0.339330792
-1,-0.75,1.5625,-0.209611387,-0.011061642
-0.875,-0.75,1.328125,-0.231851919,-0.320395382
-0.75,-0.75,1.125,-0.243489351,-0.574902022
-0.625,-0.75,0.953125,-0.240958965,-0.77218444
-0.5,-0.75,0.8125,-0.221873655,-0.916914083
-0.375,-0.75,0.703125,-0.185638461,-1.017100368
-0.25,-0.75,0.625,-0.133815357,-1.081284159
-0.125,-0.75,0.578125,-0.070118645,-1.116651632
0,-0.75,0.5625,0,-1.127899332
0.125,-0.75,0.578125,0.070118645,-1.116651632
0.25,-0.75,0.625,0.133815357,-1.081284159
0.375,-0.75,0.703125,0.185638461,-1.017100368
0.5,-0.75,0.8125,0.221873655,-0.916914083
0.625,-0.75,0.953125,0.240958965,-0.77218444
0.75,-0.75,1.125,0.243489351,-0.574902022
0.875,-0.75,1.328125,0.231851919,-0.320395382
1,-0.75,1.5625,0.209611387,-0.011061642
1.125,-0.75,1.828125,0.180803954,0.339330792
1.25,-0.75,2.125,0.14929121,0.701688446
1.375,-0.75,2.453125,0.118283467,1.029627339
1.5,-0.75,2.8125,0.090082002,1.261781298
1.625,-0.75,3.203125,0.066031909,1.330809977
1.75,-0.75,3.625,0.04663592,1.180555114
1.875,-0.75,4.078125,0.031760994,0.790113074
-2,-0.625,4.390625,-0.024785962,0.505984805
-1.875,-0.625,3.90625,-0.037717114,1.154591385
-1.75,-0.625,3.453125,-0.055381526,1.522983994
-1.625,-0.625,3.03125,-0.078414832,1.590269478
-1.5,-0.625,2.640625,-0.106975024,1.403389173
-1.375,-0.625,2.28125,-0.140465093,1.043484404
-1.25,-0.625,1.953125,-0.177287699,0.596931229
-1.125,-0.625,1.65625,-0.214710007,0.136559535
-1,-0.625,1.390625,-0.248919681,-0.286717007
-0.875,-0.625,1.15625,-0.275330966,-0.64443956
-0.75,-0.625,0.953125,-0.289150758,-0.926621328
-0.625,-0.625,0.78125,-0.286145851,-1.136054214
-0.5,-0.625,0.640625,-0.263481485,-1.282755767
-0.375,-0.625,0.53125,-0.220451127,-1.379479168
-0.25,-0.625,0.453125,-0.158909669,-1.438533505
-0.125,-0.625,0.40625,-0.083267951,-1.469774649
0,-0.625,0.390625,0,-1.479474018
0.125,-0.625,0.40625,0.083267951,-1.469774649
0.25,-0.625,0.453125,0.158909669,-1.438533505
0.375,-0.625,0.53125,0.220451127,-1.379479168
0.5,-0.625,0.640625,0.263481485,-1.282755767
0.625,-0.625,0.78125,0.286145851,-1.136054214
0.75,-0.625,0.953125,0.289150758,-0.926621328
0.875,-0.625,1.15625,0.275330966,-0.64443956
1,-0.625,1.390625,0.248919681,-0.286717007
1.125,-0.625,1.65625,0.214710007,0.136559535
1.25,-0.625,1.953125,0.177287699,0.596931229
1.375,-0.625,2.28125,0.140465093,1.043484404
1.5,-0.625,2.640625,0.106975024,1.403389173
1.625,-0.625,3.03125,0.078414832,1.590269478
1.75,-0.625,3.453125,0.055381526,1.522983994
1.875,-0.625,3.90625,0.037717114,1.154591385
-2,-0.5,4.25,-0.028528468,0.89217498
-1.875,-0.5,3.765625,-0.043412132,1.623057822
-1.75,-0.5,3.3125,-0.063743745,1.970861708
-1.625,-0.5,2.890625,-0.090254919,1.937345134
-1.5,-0.5,2.5,-0.123127498,1.602287231
-1.375,-0.5,2.140625,-0.161674331,1.078975601
-1.25,-0.5,1.8125,-0.204056891,0.478714246
-1.125,-0.5,1.515625,-0.247129704,-0.110286684
-1,-0.5,1.25,-0.286504797,-0.630644725
-0.875,-0.5,1.015625,-0.316903999,-1.054177806
-0.75,-0.5,0.8125,-0.332810483,-1.375371124
-0.625,-0.5,0.640625,-0.329351856,-1.603444708
-0.5,-0.5,0.5,-0.30326533,-1.755165124
-0.375,-0.5,0.390625,-0.253737692,-1.849342523
-0.25,-0.5,0.3125,-0.182903907,-1.903135896
-0.125,-0.5,0.265625,-0.095840825,-1.929857238
0,-0.5,0.25,0,-1.937824843
0.125,-0.5,0.265625,0.095840825,-1.929857238
0.25,-0.5,0.3125,0.182903907,-1.903135896
0.375,-0.5,0.390625,0.253737692,-1.849342523
0.5,-0.5,0.5,0.30326533,-1.755165124
0.625,-0.5,0.640625,0.329351856,-1.603444708
0.75,-0.5,0.8125,0.332810483,-1.375371124
0.875,-0.5,1.015625,0.316903999,-1.054177806
1,-0.5,1.25,0.286504797,-0.630644725
1.125,-0.5,1.515625,0.247129704,-0.110286684
1.25,-0.5,1.8125,0.204056891,0.478714246
1.375,-0.5,2.140625,0.161674331,1.078975601
1.5,-0.5,2.5,0.123127498,1.602287231
1.625,-0.5,2.890625,0.090254919,1.937345134
1.75,-0.5,3.3125,0.063743745,1.970861708
1.875,-0.5,3.765625,0.043412132,1.623057822
-2,-0.375,4.140625,-0.031825806,1.442976814
-1.875,-0.375,3.65625,-0.048429733,2.321230507
-1.75,-0.375,3.203125,-0.071111287,2.661619953
-1.625,-0.375,2.78125,-0.100686638,2.495402829
-1.5,-0.375,2.390625,-0.13735865,1.949410497
-1.375,-0.375,2.03125,-0.18036075,1.184945537
-1.25,-0.375,1.703125,-0.227641911,0.3518475
-1.125,-0.375,1.40625,-0.275693107,-0.436812807
-1,-0.375,1.140625,-0.319619197,-1.112070737
-0.875,-0.375,0.90625,-0.353531958,-1.644538843
-0.75,-0.375,0.703125,-0.371276923,-2.034200735
-0.625,-0.375,0.53125,-0.367418546,-2.299131946
-0.5,-0.375,0.390625,-0.338316923,-2.465790031
-0.375,-0.375,0.28125,-0.283064851,-2.561891315
-0.25,-0.375,0.203125,-0.204044053,-2.611842538
-0.125,-0.375,0.15625,-0.106918166,-2.634180757
0,-0.375,0.140625,0,-2.640342902
0.125,-0.375,0.15625,0.106918166,-2.634180757
0.25,-0.375,0.203125,0.204044053,-2.611842538
0.375,-0.375,0.28125,0.283064851,-2.561891315
0.5,-0.375,0.390625,0.338316923,-2.465790031
0.625,-0.375,0.53125,0.367418546,-2.299131946
0.75,-0.375,0.703125,0.371276923,-2.034200735
0.875,-0.375,0.90625,0.353531958,-1.644538843
1,-0.375,1.140625,0.319619197,-1.112070737
1.125,-0.375,1.40625,0.275693107,-0.436812807
1.25,-0.375,1.703125,0.227641911,0.3518475
1.375,-0.375,2.03125,0.18036075,1.184945537
1.5,-0.375,2.390625,0.13735865,1.949410497
1.625,-0.375,2.78125,0.100686638,2.495402829
1.75,-0.375,3.203125,0.071111287,2.661619953
1.875,-0.375,3.65625,0.048429733,2.321230507
-2,-0.25,4.0625,-0.034411901,2.420392084
-1.875,-0.25,3.578125,-0.052365027,3.624892925
-1.75,-0.25,3.125,-0.076889634,3.99944938
-1.625,-0.25,2.703125,-0.108868213,3.62161315
-1.5,-0.25,2.3125,-0.148520113,2.702180166
-1.375,-0.25,1.953125,-0.195016469,1.492328073
-1.25,-0.25,1.625,-0.246139594,0.21670854
-1.125,-0.25,1.328125,-0.298095324,-0.961186146
-1,-0.25,1.0625,-0.345590753,-1.946758671
-0.875,-0.25,0.828125,-0.38225919,-2.705032777
-0.75,-0.25,0.625,-0.401446071,-3.243852478
-0.625,-0.25,0.453125,-0.397274171,-3.596333762
-0.5,-0.25,0.3125,-0.365807815,-3.806271792
-0.375,-0.25,0.203125,-0.30606608,-3.917763807
-0.25,-0.25,0.125,-0.220624226,-3.968790669
-0.125,-0.25,0.078125,-0.115606102,-3.987799176
0,-0.25,0.0625,0,-3.992190043
0.125,-0.25,0.078125,0.115606102,-3.987799176
0.25,-0.25,0.125,0.220624226,-3.968790669
0.375,-0.25,0.203125,0.30606608,-3.917763807
0.5,-0.25,0.3125,0.365807815,-3.806271792
0.625,-0.25,0.453125,0.397274171,-3.596333762
0.75,-0.25,0.625,0.401446071,-3.243852478
0.875,-0.25,0.828125,0.38225919,-2.705032777
1,-0.25,1.0625,0.345590753,-1.946758671
1.125,-0.25,1.328125,0.298095324,-0.961186146
1.25,-0.25,1.625,0.246139594,0.21670854
1.375,-0.25,1.953125,0.195016469,1.492328073
1.5,-0.25,2.3125,0.148520113,2.702180166
1.625,-0.25,2.703125,0.108868213,3.62161315
1.75,-0.25,3.125,0.076889634,3.99944938
1.875,-0.25,3.578125,0.052365027,3.624892925
-2,-0.125,4.015625,-0.036063362,5.133914193
-1.875,-0.125,3.53125,-0.054878077,7.400314228
-1.75,-0.125,3.078125,-0.080579644,7.983892836
-1.625,-0.125,2.65625,-0.114092908,7.076121194
-1.5,-0.125,2.265625,-0.155647742,5.122030736
-1.375,-0.125,1.90625,-0.204375505,2.633580717
-1.25,-0.125,1.578125,-0.25795208,0.058628861
-1.125,-0.125,1.28125,-0.312401217,-2.284139729
-1,-0.125,1.015625,-0.362175999,-4.216711225
-0.875,-0.125,0.78125,-0.400604192,-5.680271069
-0.75,-0.125,0.578125,-0.420711871,-6.699909791
-0.625,-0.125,0.40625,-0.416339757,-7.348873246
-0.5,-0.125,0.265625,-0.383363298,-7.719428953
-0.375,-0.125,0.15625,-0.320754498,-7.902542271
-0.25,-0.125,0.078125,-0.231212203,-7.975598353
-0.125,-0.125,0.03125,-0.121154154,-7.996094068
0,-0.125,0.015625,0,-7.999023457
0.125,-0.125,0.03125,0.121154154,-7.996094068
0.25,-0.125,0.078125,0.231212203,-7.975598353
0.375,-0.125,0.15625,0.320754498,-7.902542271
0.5,-0.125,0.265625,0.383363298,-7.719428953
0.625,-0.125,0.40625,0.416339757,-7.348873246
0.75,-0.125,0.578125,0.420711871,-6.699909791
0.875,-0.125,0.78125,0.400604192,-5.680271069
1,-0.125,1.015625,0.362175999,-4.216711225
1.125,-0.125,1.28125,0.312401217,-2.284139729
1.25,-0.125,1.578125,0.25795208,0.058628861
1.375,-0.125,1.90625,0.204375505,2.633580717
1.5,-0.125,2.265625,0.155647742,5.122030736
1.625,-0.125,2.65625,0.114092908,7.076121194
1.75,-0.125,3.078125,0.080579644,7.983892836
1.875,-0.125,3.53125,0.054878077,7.400314228
-2,0.001,4.000001,-0.036631241,-6.54E+02
-1.875,0.000001,3.515625,-0.055742281,-9.31E+05
-1.75,0.000001,3.0625,-0.081848589,-9.97E+05
-1.625,0.000001,2.640625,-0.115889609,-8.77E+05
-1.5,0.000001,2.25,-0.158098837,-6.28E+05
-1.375,0.000001,1.890625,-0.20759395,-3.14E+05
-1.25,0.000001,1.5625,-0.262014234,8.30E+03
-1.125,0.000001,1.265625,-0.317320821,3.00E+05
-1,0.000001,1,-0.367879441,5.40E+05
-0.875,0.000001,0.765625,-0.40691279,7.21E+05
-0.75,0.000001,0.5625,-0.427337119,8.46E+05
